,Class,FX_u,FX_s,FX_m,FX_h,umag,gmag,rmag,zmag,Jmag,Hmag,Kmag,W1mag,W2mag,W3mag,3.6mag,4.5mag,5.8mag,8.0mag,Bmag,imag
69,AGN,4.11e-14,5.33e-14,4.66e-14,6.58e-14,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0
70,AGN,6.39e-16,3.37e-15,6.44e-15,8.68e-15,23.381,22.105,21.768,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,21.34
71,AGN,1.67e-15,4.27e-15,8.39e-15,2.04e-14,22.154,21.944,21.544,21.03,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,21.173
72,AGN,5.67e-15,9.41e-15,9.56e-15,1.31e-14,20.437,20.394,20.051,20.342,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,20.075
73,AGN,5.39e-15,2.32e-14,3.91e-14,9.95e-14,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0
74,AGN,1.19e-15,5.7e-15,1.03e-14,2.03e-14,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0
75,AGN,3.35e-15,6.87e-15,7.21e-15,1.56e-14,22.148,21.532,21.442,20.792,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,20.74
76,AGN,4.21e-15,6.99e-15,9.16e-15,2.15e-14,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0
77,AGN,6.79e-15,8.43e-15,7.8e-15,1.02e-14,22.03,21.301,21.031,20.535,9999999.0,9999999.0,9999999.0,16.602,15.97,11.887,9999999.0,9999999.0,9999999.0,9999999.0,19.73,20.615
78,AGN,3.24e-15,8.32e-15,1.03e-14,2.99e-14,22.17,21.856,21.559,21.181,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,9999999.0,21.52
